trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
3,BEST,GINI_IMPURITY,70.5251,0.2053,43,4,2.00,2.50,2.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,65.3341,0.2705,39,4,1.50,2.20,1.00,3.00,-1.00,0.00
3,BEST,GINI_IMPURITY,78.5800,0.1525,34,5,3.00,2.67,2.00,0.00,-1.00,1.00
3,BEST,GINI_IMPURITY,67.6014,0.1592,39,4,2.00,1.00,2.67,-1.00,2.00,0.00
3,BEST,GINI_IMPURITY,73.7470,0.3352,34,4,2.00,3.00,1.00,1.00,3.00,0.00
3,BEST,GINI_IMPURITY,63.4248,0.1338,23,4,3.00,1.00,2.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,72.1957,0.1552,35,4,2.00,3.00,1.00,1.00,-1.00,0.00
3,BEST,GINI_IMPURITY,80.4296,0.1575,41,4,2.50,2.33,-1.00,0.00,3.00,1.00
3,BEST,GINI_IMPURITY,69.1527,0.2177,49,4,2.00,2.60,1.00,2.00,3.00,0.00
3,TOP_THREE,INFORMATION_GAIN,71.8377,0.1918,42,5,2.00,2.00,2.00,0.00,2.67,2.67
3,TOP_THREE,INFORMATION_GAIN,75.2983,0.2453,44,6,3.00,4.00,2.50,0.00,1.50,1.50
3,TOP_THREE,INFORMATION_GAIN,70.1074,0.1713,55,5,3.00,2.00,3.00,0.00,3.00,1.67
3,TOP_THREE,INFORMATION_GAIN,63.5442,0.2058,57,6,2.33,3.33,1.50,3.00,2.00,0.00
3,TOP_THREE,INFORMATION_GAIN,74.6420,0.1725,68,6,1.50,3.00,3.50,2.00,2.80,0.00
3,TOP_THREE,INFORMATION_GAIN,70.1671,0.128,64,6,3.00,2.00,3.33,2.00,3.67,0.00
3,TOP_THREE,INFORMATION_GAIN,71.0024,0.1053,44,5,2.67,3.50,1.50,0.00,2.50,1.50
3,TOP_THREE,INFORMATION_GAIN,67.3031,0.1225,49,4,2.50,1.50,3.00,0.00,2.20,2.00
3,TOP_THREE,INFORMATION_GAIN,70.7041,0.0904,41,5,3.33,2.00,2.00,0.00,3.50,1.00
3,TOP_THREE,INFORMATION_GAIN,65.3938,0.109,45,5,2.33,2.67,2.50,0.00,1.50,2.00
3,TOP_THREE,INFORMATION_GAIN,59.9045,0.1161,48,4,0.00,1.50,2.00,1.00,2.00,2.00
